"Range","Prefix","Number","My Payterm","My Payout","Limits"
"Myanmar LX 03F","","959896904368","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959444563261","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959263559959","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959262008846","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959425500875","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959881744767","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959409729778","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959892550031","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959256743616","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959894450447","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","916206417384","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959889596072","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959408924216","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959444643340","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959894160433","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959260781304","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959886552057","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959427704434","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959429878033","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959444111882","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959262951816","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959421070184","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959261430126","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959441750755","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959895598663","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959262023641","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959455229011","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959260752185","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959898755820","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959458764138","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959262833971","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959259549349","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959440972531","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959895562769","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959899227312","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959262544647","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959408462220","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959451827800","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959454832706","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959259884025","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959455785277","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959883140976","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959895291735","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959257126717","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959449108433","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959441337841","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959899035740","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959445391358","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959260685729","Monthly60","$ 100","SD : 30 | SW : 0"
"Myanmar LX 03F","","959261368390","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255715721888","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255716065371","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255774915262","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255716298334","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255775812327","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255771656046","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255718205887","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255777675279","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255677146386","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255715094085","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255715038456","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255773882072","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255771610891","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255710504069","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255771624770","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255718517105","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255770315955","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255779579357","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255779305101","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255775696628","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255716981079","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255718685615","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255770410215","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255770646437","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255779570386","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255717745391","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255674720637","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255719267998","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255775733682","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255679155400","Monthly60","$ 100","SD : 30 | SW : 0"
